status_id,status_message,link_name,status_type,status_link,status_published,status_video_length,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
64067037679_10153911361432680,Treat yourself to a new Latin American experience with Avianca.,Experience Latin America with Avianca,link,https://www.expedia.com/g/pt/ms-air-avianca?langid=1033&brandcid=social.facebook.published.meso.partnerpage.avianca2.161129,2016-11-29 17:00:10,,726,9,14,0,0,0,0,0,0
64067037679_10153910956767680,Leave winter behind! Escape to Latin America with great fares on Avianca.,Escape to Latin American on Avianca,link,https://www.expedia.com/g/pt/ms-air-avianca?langid=1033&brandcid=social.facebook.published.meso.partnerpage.avianca1.161129,2016-11-29 13:00:10,,1270,13,19,0,0,0,0,0,0
64067037679_10153898877047680,"It's Cyber Monday! Starting at 9am PT, get ready for 90% off select hotels with an exclusive coupon to use on the Expedia app. There will be deals every hour, on the hour, until 3pm PT. (While supplies last!)",Cyber Monday deals today!,link,https://www.expedia.com/g/rg/black-friday-cyber-monday-global?brandcid=social.facebook.published.merch.blackfridaycybermondaypage.global.161128,2016-11-28 11:00:01,,21,40,3,0,0,0,0,0,0
64067037679_10153907827292680,,Expedia,link,https://viewfinder.expedia.com/features/gearing-black-friday-cyber-monday/?utm_medium=organicpost&utm_campaign=pr&utm_source=facebook,2016-11-28 00:06:34,,20,17,0,0,0,0,0,0,0
64067037679_10153904721882680,Enjoy special Cyber Monday travel deals tomorrow starting at 9am PT! Check out our guide to help you get ready.,Gearing up for Cyber Monday,link,https://viewfinder.expedia.com/features/gearing-black-friday-cyber-monday/?utm_medium=organicpost&utm_campaign=pr&utm_source=facebook,2016-11-27 19:00:00,,28,10,11,0,0,0,0,0,0
64067037679_10153898642152680,Picture yourself here! Today is the last chance to enter to win a dream island getaway at the Outrigger Konotta Maldives Resort. Simply book travel on Expedia with your Mastercard or fill out the form to enter.,Last chance to enter the Dream Island Getaway Sweepstakes,link,https://www.expedia.com/g/rg/black-friday-cyber-monday-global?brandcid=social.facebook.published.merch.blackfridaycybermondaypage.global.161127,2016-11-27 13:00:01,,22,7,4,0,0,0,0,0,0
64067037679_10153898349057680,"Hawaiʻi has so much to offer, no matter your travel style! Discover your Aloha by pairing up with one of these three guides for your perfect itinerary in Hawaii – gohawaii.com.",Expedia,link,https://discoveryouraloha.expedia.com/?brandcid=social.facebook.published.meso.discoveryouralohapage.hawaii.161126,2016-11-26 13:00:00,,277,15,27,0,0,0,0,0,0
64067037679_10153898934082680,"Planning a trip to Disneyland but not sure where to stay? We went to Anaheim, California, to uncover the top three hotel options in the Disneyland area. #ExpediaAtDisney",3 best hotels at Disneyland Resort | Expedia,video,https://www.facebook.com/expedia/videos/10153898934082680/,2016-11-25 19:00:00,01:19,304,7,37,0,0,0,0,0,0
64067037679_10153902897157680,Shopping on Expedia? Use your Mastercard when booking travel on Expedia and you will be entered for a chance to win a dream island getaway at the Outrigger Konotta Maldives Resort.,You could win a Dream Island Getaway for two,link,https://www.expedia.com/g/rg/black-friday-cyber-monday-global?brandcid=social.facebook.published.merch.blackfridaycybermondaypage2.global.161125,2016-11-25 17:00:07,,32,2,7,0,0,0,0,0,0
64067037679_10153898879607680,Ready for our Black Friday deals at 9am PT? Get 75% off select hotels with an exclusive coupon to use on the Expedia app.,Get ready for Black Friday deals,link,https://www.expedia.com/g/rg/black-friday-cyber-monday-global?brandcid=social.facebook.published.merch.blackfridaycybermondaypage1.global.161125,2016-11-25 11:00:01,,15,12,10,0,0,0,0,0,0
64067037679_10153896264412680,Happy Thanksgiving! We're thankful for you! Enjoy the gift of travel with our $50 off $200 hotel coupon: http://bit.ly/2fCJ8vH,Timeline Photos,photo,https://www.facebook.com/expedia/photos/a.10150326748327680.344475.64067037679/10153896264412680/?type=3,2016-11-24 13:00:01,,76,10,5,0,0,0,0,0,0
64067037679_10153898167402680,Feeling vacation deprived? Use our map to explore vacation habits around the world. Find out which countries are the most deprived and who has the best work-life balance.,Comparing vacation behaviors across countries,link,https://viewfinder.expedia.com/vacation-deprivation-2016/?utm_source=facebook&utm_medium=organicpost&utm_campaign=pr,2016-11-23 13:00:09,,44,2,3,0,0,0,0,0,0
64067037679_10153895807262680,There are few destinations more unique than Bath in the English countryside. Visit the ancient baths and also take a dip in the enriching spring waters at a modern spa. #OMGB Love GREAT Britain,A guide to the baths of Bath,link,https://viewfinder.expedia.com/london/guide-baths-bath/?utm_campaign=blog&utm_source=facebook&utm_medium=organicpost,2016-11-22 13:00:18,,38,2,4,0,0,0,0,0,0
64067037679_10153892876032680,"With only a few days away until Black Friday, we're sharing the epic deals you can expect on Expedia and how to make sure you don't miss out!","Gearing up for Black Friday, Cyber Monday on Expedia",link,https://viewfinder.expedia.com/features/gearing-black-friday-cyber-monday/?utm_source=facebook&utm_medium=organicpost&utm_campaign=pr,2016-11-21 13:00:09,,44,13,12,0,0,0,0,0,0
