status_id,status_message,link_name,status_type,status_link,status_published,status_video_length,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
34834516787_10155061046051788,Because intimacy can mean some of the hottest orgasms of your life. http://spr.ly/61848w4II,5 Super-Intimate Sex Moves,link,http://spr.ly/61848w4II,2017-03-30 22:45:00,,1170,11,88,0,0,0,0,0,0
34834516787_10155061022686788,Everything you need to know. http://spr.ly/61858w4F1,Have Super Sex All Month Long,link,http://spr.ly/61858w4F1,2017-03-30 22:30:00,,619,17,66,0,0,0,0,0,0
34834516787_10155060980041788,Losing 146 pounds pushed Katie Pritchard over the edge. http://spr.ly/61808whUi,My Weight Loss Surgery Was a Huge Mistake,link,http://spr.ly/61808whUi,2017-03-30 22:00:00,,66,3,5,0,0,0,0,0,0
34834516787_10155060960771788,"Yes, they are still thinking...
http://spr.ly/61888w4N2",9 Men Share What Goes Through Their Heads When They Orgasm,link,http://spr.ly/61888w4N2,2017-03-30 21:45:00,,35,4,2,0,0,0,0,0,0
34834516787_10155060908366788,"""Personally, I found it very sexy."" http://spr.ly/61848wC40",7 Guys On What It Was Like To Catch Their Girlfriends Masturbating,link,http://spr.ly/61848wC40,2017-03-30 21:30:00,,74,5,10,0,0,0,0,0,0
34834516787_10155060883961788,Make the BJ more enjoyable for EVERYONE involved. http://spr.ly/61858wASb,7 Hot Things to Do with Your Hands During Oral,link,http://spr.ly/61858wASb,2017-03-30 21:15:00,,76,1,7,0,0,0,0,0,0
34834516787_10155060859386788,"""I learned not to put myself last."" http://spr.ly/61828wfos",8 Women Share What They Learned from Dating Mr. Wrong,link,http://spr.ly/61828wfos,2017-03-30 21:00:01,,189,9,38,0,0,0,0,0,0
34834516787_10155060832666788,"Get on their blissed-out level with these tips.
http://spr.ly/61878wfcJ",8 Sex Habits of Super Happy Couples,link,http://spr.ly/61878wfcJ,2017-03-30 20:45:00,,263,1,31,0,0,0,0,0,0
34834516787_10155060799231788,"""When I had doubts about my progress, I looked at my before and after pictures to remind myself that I was on the right track."" http://spr.ly/61898wh2f",This Is the Exact Workout That Helped Me Lose 30 Pounds,link,http://spr.ly/61898wh2f,2017-03-30 20:30:00,,555,8,88,0,0,0,0,0,0
34834516787_10155060772301788,10 signs he's not ready for marriage: http://spr.ly/61878wfId,10 Signs He's Not Ready for Marriage,link,http://spr.ly/61878wfId,2017-03-30 20:15:00,,100,6,19,0,0,0,0,0,0
34834516787_10155060741386788,"Our favorite anti-ager EVER. 
http://spr.ly/61888wf9k","5 Ways Sex Is Really, Really Good for Your Skin and Hair",link,http://spr.ly/61888wf9k,2017-03-30 20:00:01,,589,17,40,0,0,0,0,0,0
34834516787_10155060707541788,Whoa! Did you know about #5? http://spr.ly/61848w4C6,11 Nipple Facts You Need in Your Life,link,http://spr.ly/61848w4C6,2017-03-30 19:45:00,,1044,11,65,0,0,0,0,0,0
34834516787_10155057174551788,"Didn't need to know that, James Franco...",7 Totally TMI Celeb Sex Confessions,video,https://www.facebook.com/womenshealthmagazine/videos/10155057174551788/,2017-03-30 19:30:00,00:52,67,1,7,0,0,0,0,0,0
34834516787_10155060641706788,"""He helped me qualify for the Boston Marathon!"" http://spr.ly/61888wLDA",5 Women Share The Sweetest Things Their Partners Have Ever Done For Them,link,http://spr.ly/61888wLDA,2017-03-30 19:15:00,,64,3,3,0,0,0,0,0,0
34834516787_10155060554691788,"They have a hormone cycle, too. http://spr.ly/61868wLiE via Elite Daily","Why Guys Always Want To Hook Up First Thing In The Morning, According To Science",link,http://spr.ly/61868wLiE,2017-03-30 18:45:00,,82,1,8,0,0,0,0,0,0
34834516787_10155060421956788,These are SO doable! http://spr.ly/61898wht1,6 Tiny Tweaks That'll Help You Lose Weight Without Even Trying,link,http://spr.ly/61898wht1,2017-03-30 18:15:00,,76,6,37,0,0,0,0,0,0
34834516787_10155060071246788,"We can't tell you how Angelina did it, but here's what these women did. http://spr.ly/61838whhb",5 Women Share How They Asked for a Divorce,link,http://spr.ly/61838whhb,2017-03-30 16:45:00,,41,5,2,0,0,0,0,0,0
34834516787_10155060000631788,What are your thoughts? http://spr.ly/61818wjNx,People Are Pissed That This Nail Salon Allegedly Tried Charging Overweight Customers Extra,link,http://spr.ly/61818wjNx,2017-03-30 16:30:00,,48,3,5,0,0,0,0,0,0
34834516787_10155059940611788,Get to know the girls a little better. http://spr.ly/61888b6nu,11 Weird Facts About Your Breasts,link,http://spr.ly/61888b6nu,2017-03-30 16:15:00,,266,0,19,0,0,0,0,0,0
34834516787_10155059911331788,Your before-dinner snack—with zero bloating. http://spr.ly/61818whof,21 Snacks for Flat Abs,link,http://spr.ly/61818whof,2017-03-30 16:00:01,,336,9,151,0,0,0,0,0,0
34834516787_10155059856056788,These women lift heavy weights—and look great doing it. http://spr.ly/61828bHQk,8 Photos That Prove Lifting Heavy Doesn't Make You 'Bulky',link,http://spr.ly/61828bHQk,2017-03-30 15:45:00,,364,5,40,0,0,0,0,0,0
34834516787_10155059794631788,Her story will make you cry happy tears. http://spr.ly/61828w4Sq,This 'Say Yes To The Dress' Contestant Is Making Waves—For An Amazing Reason,link,http://spr.ly/61828w4Sq,2017-03-30 15:30:00,,39,3,2,0,0,0,0,0,0
34834516787_10155059741726788,And her daughter's reaction is SO sweet. http://spr.ly/61848bKAo,This Mom Just Explained Stretch Marks To Her Daughter In The Best Way Possible,link,http://spr.ly/61848bKAo,2017-03-30 15:15:00,,268,4,6,0,0,0,0,0,0
34834516787_10155059693171788,#4 is no joke. http://spr.ly/61858whpB,10 Signs You Have an Iron Deficiency,link,http://spr.ly/61858whpB,2017-03-30 15:00:01,,151,11,107,0,0,0,0,0,0
34834516787_10155059665286788,Get superb abs in the great outdoors. http://spr.ly/61898wh3J,6 Ways to Sculpt A Six-Pack Anywhere,link,http://spr.ly/61898wh3J,2017-03-30 14:45:01,,275,0,30,0,0,0,0,0,0
34834516787_10155059639871788,Blair Helwig found a workout that motivated her to change everything. http://spr.ly/61888b6Vm,'I Lost Nearly 40 Pounds In 6 Months—Here's How I Did It',link,http://spr.ly/61888b6Vm,2017-03-30 14:30:01,,220,7,32,0,0,0,0,0,0
34834516787_10155059603281788,Seven women share their real-life experiences with parental leave (or lack thereof). http://spr.ly/61838b6V9,'I Got Zero Paid Leave After Having A Baby—Here's What It Was Like',link,http://spr.ly/61838b6V9,2017-03-30 14:15:00,,87,4,8,0,0,0,0,0,0
34834516787_10155059547741788,"And they're promoting a body-positive message, too. http://spr.ly/61898b6NU",Target Just Expanded Its Nude Lingerie Collection—And Prices Start At $5,link,http://spr.ly/61898b6NU,2017-03-30 14:00:01,,475,5,17,0,0,0,0,0,0
34834516787_10155059513281788,Works like an absolute charm. http://spr.ly/61818b6Yz,This 60-Second Trick Will Help You Remember Why You Love Your S.O.,link,http://spr.ly/61818b6Yz,2017-03-30 13:45:01,,156,3,10,0,0,0,0,0,0
34834516787_10155059482821788,And how to tell if it's a sign of something more serious. http://spr.ly/61878wuhz,Here's Why Your Toes Keep Cramping,link,http://spr.ly/61878wuhz,2017-03-30 13:30:00,,115,0,19,0,0,0,0,0,0
34834516787_10155059451501788,Go far beyond deviled. http://spr.ly/61848byok,16 Genius Ways To Use Hard-Boiled Eggs,link,http://spr.ly/61848byok,2017-03-30 13:15:01,,122,0,9,0,0,0,0,0,0
34834516787_10155059399656788,Let Victoria Beckham's look be your inspiration. http://spr.ly/61828b6Sa via Prevention Magazine,6 Easy Celeb Hairstyles For Warmer Weather,link,http://spr.ly/61828b6Sa,2017-03-30 12:45:00,,214,3,4,0,0,0,0,0,0
34834516787_10155059372901788,"Supermodels, they're just like us! http://spr.ly/61888byWe",This Video Of GiGi Hadid Planking Is Insanely Relatable,link,http://spr.ly/61888byWe,2017-03-30 12:30:01,,442,7,33,0,0,0,0,0,0
34834516787_10155059291826788,It worked for Khloe Kardashian... http://spr.ly/61848w7Vw,Can Cutting Out Dairy Really Help You Lose Weight?,link,http://spr.ly/61848w7Vw,2017-03-30 11:45:00,,181,19,11,0,0,0,0,0,0
34834516787_10155057186101788,You'll love to hate 'em,12 Burpee Variations,video,https://www.facebook.com/womenshealthmagazine/videos/10155057186101788/,2017-03-30 11:30:00,01:19,1352,234,695,0,0,0,0,0,0
34834516787_10155059200981788,Find one that's right for you. http://spr.ly/61838whWB,6 Women Share The Exact Meal Plans That Helped Them Lose 10 Pounds,link,http://spr.ly/61838whWB,2017-03-30 11:00:03,,401,2,43,0,0,0,0,0,0
34834516787_10155059170906788,How do you feel about this? http://spr.ly/61868bHpI,This Photo Of A High School Prom's 'Dress Code' Has People OUTRAGED,link,http://spr.ly/61868bHpI,2017-03-30 10:45:01,,133,32,13,0,0,0,0,0,0
34834516787_10155059123501788,It's an area most women rarely even consider when exercising. http://spr.ly/61848b6tQ,Why You Need To STOP Ignoring This Crucial Body Part During Your Workouts,link,http://spr.ly/61848b6tQ,2017-03-30 10:15:00,,302,1,66,0,0,0,0,0,0
34834516787_10155059074486788,Correcting these issues alone is a huge weight-loss advantage. http://spr.ly/61838whiV via Rodale Wellness,10 Mistakes That Block Your Weight-Loss Success,link,http://spr.ly/61838whiV,2017-03-30 09:45:01,,191,4,29,0,0,0,0,0,0
34834516787_10155059074501788,There's science behind why some couples look like they're related. http://spr.ly/61878b6gZ via Reader's Digest,"Why Couples Look Alike, According to Science",link,http://spr.ly/61878b6gZ,2017-03-30 09:45:01,,311,30,53,0,0,0,0,0,0
34834516787_10155059025476788,You can help yourself calm down. http://spr.ly/61808w7aA,16 Ways To Relieve Your Anxiety Without Medication,link,http://spr.ly/61808w7aA,2017-03-30 09:15:01,,177,18,150,0,0,0,0,0,0
34834516787_10155058948511788,Some of them just require a glance at a nutrition label. http://spr.ly/61838w703,You Can Make These 12 Easy Weight-Loss Changes In 60 Seconds Or Less,link,http://spr.ly/61838w703,2017-03-30 08:45:00,,110,5,20,0,0,0,0,0,0
